All,Visi
"Invalid shipping method","Nepareizs piegādes veids"
"There are more than one shipping addresses.","Ir vairākas piegādes adreses."
"Sorry, guest checkout is not available.","Atvainojiet, pirkuma noformēšana nav pieejama nereģistrētiem lietotājiem."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Jums ir jāapstiprina jūsu profils. Lūdzu pārbaudiet savu e-pastu un nospiediet uz apstriprinājuma saites vai <a href=""%1"">nospiediet šeit</a> lai iegūtu jaunu saiti."
"Load customer quote error","Ielādēt klienta pirkumu"
"Invalid method: %1","Neatļauta metode: %1"
Error!,Kļūda!
"DB exception","DB kļūda"
"Apply Discount Code","Pielietot atlaides kodu"
"Enter discount code","Ievadiet atlaides kodu"
"Apply Discount","Izmantot atlaidi"
"Cancel Coupon","Atcelt kuponu"
"Continue Shopping","Turpināt iepirkties"
"Clear Shopping Cart","Iztīrīt iepirkuma grozu"
"Update Shopping Cart","Atjaunināt pirkuma grozu"
"Update Cart","Atjaunināt Grozu"
"You have no items in your shopping cart.","Jums nav produktu grozā."
"Click <a href=""%1"">here</a> to continue shopping.","Klikškiniet <a href=""%1"">šeit</a>, lai turpinātu iepirkšanos."
"Estimate Tax","Aptuvenais nodokļa aprēķins"
"Estimate Shipping and Tax","Aptuvenās piegādes izmaksas un nodoklis"
"Order #","Pasūtījums #"
"Proceed to Checkout","Noformēt pirkumu"
"Your order number is: %1.","Jūsu pirkuma numurs ir: %1."
"Your order # is: <span>%1</span>.","Jūsu pirkuma # ir: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Mēs jums nosūtīsim e-pastu ar pasūtījuma apstiprinājumu un detalizētu informāciju, kā arī sekošanas informāciju."
"Payment Transaction Failed","Norēķins neizdevās"
Reason,Iemesls
"Checkout Type","Noformēšanas tips"
Customer:,Klients:
Total:,Kopā:
"Billing Address:","Norēķinu Adrese:"
"Shipping Address:","Piegādes adrese:"
"Shipping Method:","Piegādes veids:"
"Payment Method:","Samaksas veids:"
"Date & Time:","Laiks un datums:"
"Sign In",Pieteikties
"Email Address","E-pasta adrese"
"Forgot Your Password?","Aizmirsāt paroli?"
"My billing and shipping address are the same","Mana norēķinu un piegādes adrese ir viena un tā pati"
Update,Atjaunināt
"Save in address book","Saglabāt adrešu grāmatā"
"Estimated Total","Aptuvenā kopsumma"
"You can create an account after checkout.","Jūs varat izveidot profilu pēc pasūtījuma noformēšanas."
"You already have an account with us. Sign in or continue as guest.","Jums jau ir profils. Pieskaties vai turpiniet lietot nereģistrējoties."
Login,Lietotājvārds
"Items in Cart","Preces grozā"
"Item in Cart","Prece grozā"
"View and Edit Cart","Skatīt un labot pirkuma grozu"
"See Details","Sīkāka informācija"
"Options Details","Opciju detaļas"
"Cart Subtotal","Groza starpsumma"
"No Payment method available.","Norēķinu veidi nav pieejami."
"You can track your order status by creating an account.","Jūs varat izsekot sava pirkuma statusam, ja izveidosiet profilu."
"Create an Account","Izveidot kontu"
"Forgot an Item?","Aizmirsi pievienot produktu?"
"Edit Your Cart","Atjauniniet savu pirkuma grozu"
"Ship Here","Piegādāt šeit"
"Ship To:","Piegādāt uz:"
edit,labot
"Shipping Address","Piegādes adreses"
"New Address","Jauna adrese"
"Order Summary","Pasūtījumu pārskats"
"Provided Zip/Postal Code seems to be invalid.","Norādītais pasta indeks nav pareizs."
" Example: "," Piemērs: "
"Are you sure you would like to remove this item from the shopping cart?","Vai esat pārliecināti, ka vēlaties izņemt šo preci no ieprirkumu groza?"
"Review & Payments","Pārskats un maksājumi"
"Save Address","Saglabāt adresi"
"Checkout Options","Pirkuma noformēšanas iespējas"
"Enable Onepage Checkout","Ieslēgt vienas lapas pirkuma noformēšanu"
"Allow Guest Checkout","Atļaut nereģistrētiem lietotājiem noformēt pirkumu"
"My Cart Link","Mana groza saite"
"Display Cart Summary","Rādīt groza kopsavilkumu"
"Separate by "","".","Atdali ar "",""."
"Order Total","Pirkuma summa"
Payment,Apmaksa
"Not yet calculated","Vēl nav aprēķināts"
"Thank you for your purchase!","Paldies par pirkumu!"
"Terms and Conditions","Noteikumi un Nosacījumi"
"Add New Condition","Pievienot Jaunu Nosacījumu"
Condition,Nosacījums
Sales,Pārdošana
"Preview Quote Lifetime (minutes)","Priekšskata kvotas laiks (minūtes)"
"Static Blocks","Statiskie bloki"
"Add New Block","Pievienot jaunu bloku"
"Delete Block","Dzēst bloku"
Identifier,Identifikators
"Manage Pages","Pārvaldīt lapas"
"Add New Page","Pievienot jaunu lapu"
"Delete Page","Dzēst lapu"
Created,Izveidots
"Media Storage","Mediju uzglabāšana"
"Delete Folder","Dzēst direktoriju"
"New Folder Name:","Jauns direktorijas nosaukums:"
"Storage Root","Glabāšanas pamatdirektorija"
"We can't find a block to delete.","Nevar atrast bloku lai to izdzēstu."
"This block no longer exists.","Šis bloks vairs neeksistē."
"Edit Block","Labot bloku"
"New Block","Jauns bloks"
"The page has been deleted.","Lapa tika nodzēsta."
"We can't find a page to delete.","Nevar atrast lapu lai to izdzēstu."
"This page no longer exists.","Šī lapa vairs neeksistē."
"Edit Page","Labot lapu"
"New Page","Jauna lapa"
Pages,Lapas
"Page Title","Lapas nosaukums"
"Enabled by Default","Ieslēgts pēc noklusējuma"
"Disabled by Default","Izslēgts pēc noklusējuma"
"Disabled Completely","Pilnībā izslēgts"
"A block identifier with the same properties already exists in the selected store.","Bloka identifikators ar tādām pašām opcijām šajā veikalā jau eksistē."
"We can't upload the file right now.","Mēs pašlaik nevaram augšuplādēt šo failu."
"We can't delete root directory %1 right now.","Mēs nevaram izdzēst galveno katalogu %1 pašlaik."
View,Skatīt
"No files found","Faili nav atrasti"
"Save Page","Saglabāt lapu"
"Content Management","Satura pārvaldība"
"CMS Home Page","CMS mājas lapa"
"CMS No Route Page","CMS lapa bez pārvirzīšanas"
"CMS No Cookies Page","CMS lapa bez sīkdatnēm"
"Show Breadcrumbs for CMS Pages","Rādīt ceļu CMS lapām"
"Redirect to CMS-page if Cookies are Disabled","Pārvirzīt uz CMS lapu, ja sīkdatnes ir izslēgtas"
"Show Notice if JavaScript is Disabled","Rādīt paziņojumu ja JavaScript ir izslēgts"
"WYSIWYG Options","WYSIWYG iestatījumi"
"Enable WYSIWYG Editor","Ieslēgt WYSIWYG redaktoru"
"CMS Page Link","CMS lapas saite"
"Link to a CMS Page","Saite uz CMS lapu"
"CMS Page","CMS lapa"
"Select Page...","Izvēlēties lapu..."
"If empty, the Page Title will be used","Ja tukšs, tad tiks izmantots lapas nosaukums"
"CMS Page Link Block Template","CMS lapas saites bloka šablons"
"CMS Page Link Inline Template","CMS lapas saites iekļautais šablons"
"CMS Static Block","CMS statisks bloks"
"Contents of a Static Block","Statiskā bloka saturs"
Block,Bloks
"Select Block...","Izvēlēties bloku..."
"CMS Static Block Default Template","CMS statiskā bloka noklusētais šablons"
"General Information","Vispārīga informācija"
"Block Title","Bloka nosaukums"
"Page Information","Lapas informācija"
"Content Heading","Satura galvene"
"Custom Theme","Pielāgota tēma"
"Custom Layout","Pielāgots izkārtojums"
"Delete Customer","Dzēst klientu"
"A total of %1 record(s) were updated.","Kopā atjaunots %1 ieraksts(i)."
"Add New Role","Pievienot jaunu lomu"
test,pārbaude
"Localized Exception.","Lokalizēts izņēmums."
"Role Name","Lomas nosaukums"
"User Role","Lietotāja loma"
"Please select a region, state or province.","Izvēlieties reģionu, štatu vai novadu."
"Phone Number","Tālruņa numurs"
Contacts,Kontakti
"Role Information","Lomas informācija"
"Save Role","Saglabātu lomu"
"Add New User","Pievienot jaunu lietotāju"
"Create an Account",Reģistrēties
"When you sign in to your account, you will be able to:","Pieslēdzoties kontam Jūs varēsiet:"
"Edit User","Labot lietotāju"
Comment,Komentārs
"My Orders","Mani pasūtījumi"
Users,Lietotāji
Updated,Atjaunināts
Purchased,Nopirkts
"Store Credit","Veikala Kredīts"
"Order # %1","Pasūtījums # %1"
"This is a required field.","Šis ir obligāts lauks."
Rate,Likme
Date,Datums
"Default Config","Noklusējuma Konfigurācija"
"Save Config","Saglabāt Konfigurāciju"
Add,Pievienot
"Delete File","Dzēst failu"
"Design Theme","Dizaina tēma"
"Sorry, we haven't installed the base currency you selected.","Atvainojiet, bet mēs neieinstalējām Jūsu izvēlēto bāzes valūtu."
"Sorry, we haven't installed the default display currency you selected.","Atvainojiet, bet mēs neieinstalējām Jūsu izvēlēto noklusēto attēlojamo valūtu."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Augšupielādējat failu pārsniedz servera izmēra ierobežojumu %1 kilobaiti."
Specified,Norādītais
"Add after","Pievienot pēc"
"Email to a Friend","Nosūtīt e-pastā draugam"
Configurations,Konfigurācijas
"Attribute Values","Atribūtu vērtības"
"Choose an Option...","Izvēlieties opciju..."
"This attribute is used in configurable products.","Šo atribūtu izmanto konfigurējamiem produktiem."
Confirm,Apstiprināt
"Add Products Manually","Manuāli pievienot produktu"
Weight,Svars
Options,Opcijas
"Remove image","Noņemt attēlu"
Select,Izvēlēties
"Upload Image","Augšuplādēt attēlu"
"Upload image","Augšuplādēt attēlu"
"No Image","Nav attēla"
"Enable Product","Aktivizēt produktu"
"New Product Review","Jauna produkta pārskats"
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Paldies ka sazinājāties ar mums. Mēs atbildēsim Jums visdrīzākajā laikā."
"Write Us","Rakstiet mums"
"Jot us a note and we’ll get back to you as quickly as possible.","Nosūtiet mums ziņu un mēs Jums atbildēsim visātrāk iespējamajā laikā."
"What’s on your mind?","Ko vēlaties teikt?"
"Contact Us",Kontakti
"Enable Contact Us","Ieslēgt Sazināties ar mums"
"Email Options","E-pasta opcijas"
"Send Emails To","Sūtīt e-pastus"
"Email Sender","E-pasta sūtītājs"
"Email Template","E-pasta šablons"
"Invalid domain name: %1","Nederīgs domēna vārds: %1"
Daily,"Katru dienu"
Weekly,"Katru nedēļu"
Monthly,"Katru mēnesi"
"Generate Schedules Every","Ģenerēt grafikus katru"
"Schedule Ahead for","Grafiks uz priekšu"
"Missed if Not Run Within","Tiek izlaists ja netiek darbināts"
"History Cleanup Every","Attīrīt vēsturi katru"
"Success History Lifetime","Izpildīto uzdevumu uzturēšanas ilgums"
"Failure History Lifetime","Kļūdu vēstures uzturēšanas ilgums"
"Save Currency Rates","Saglabāt Valūtas Kursus"
"Manage Currency Rates","Pārvaldīt valūtas kursus"
"Save Currency Symbols","Saglabāt valūtas simbolus"
"Use Standard","Izmantot standarta"
"Old rate:","Iepriekšējais kurss:"
"You aren't subscribed to our newsletter.","Tu neesi pierakstījies jaunumu saņemšanai."
"You have not set a default shipping address.","Noklusētā piegādes adrese nav iestatīta."
"You have not set a default billing address.","Noklusētā norēķinu adrese nav iestatīta."
"Address Book","Adresu grāmata"
"Edit Address","Labot adreses"
"Add New Address","Pievienot jaunu adresi"
region,reģions
"Save Customer","Saglabāt klientu"
"New Customer","Jauns klients"
Newsletter,Jaunumi
"Start date","Sākuma datums"
Subject,Tēma
Sent,Nosūtīts
"Not Sent","Nav nosūtīts"
Sending,Sūta
Paused,Apturēts
Unknown,Nezināms
Confirmed,Apstiprināts
"Confirmation Required","Nepieciešams apstiprinājums"
"Confirmation Not Required","Nav nepieciešams apstiprinājums"
"The customer does not have default billing address.","Klientam nav ievadīta noklusētā norēķinu adrese."
Never,Nekad
Locked,Slēgts
"Add Locale","Pievienot lokalizāciju"
"Add Date","Pievienot datumu"
"Days in Wish List","Dienas Vēlmju sarakstā"
Unlock,Atbloķēt
"Delete Image","Dzēst attēlu"
"View Full Size","Apskatīt pilnā lielumā"
"All countries","Visas valstis"
"Add New Customer Group","Pievienot jaunu klientu grupu"
"Save Customer Group","Saglabāt klientu grupu"
"Bad request.","Nepareizs pieprasījums."
"Wrong email.","Nepareizs e-pasts."
"Please enter your email.","Lūdzu, ievadiet savu e-pastu."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Ja vien ir kāds profils saistīts ar %1 epasta adresi, jūs saņemsiet elektronisku vēstuli ar saiti uz paroles maiņas formu."
"You updated your password.","Jūs atjauninājāt savu paroli."
"Edit Group","Labot grupu"
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Parolē jābūt vismaz %1 dažādu veidu simboliem: mazie burti, lielie burti, cipari, speciālie simboli."
"VAT Number is valid.","PVN reģistrācijas numurs ir derīgs."
"You will be charged tax.","Jums būs jāmaksā nodoklis."
"You will not be charged tax.","Jums nebūs jāmaksā nodoklis."
Male,Vīrietis
Female,Sieviete
"Default Billing Address","Norēķinu adrese pēc noklusējuma"
"Manage Addresses","Pārvaldīt adreses"
"Default Shipping Address","Piegādes adrese pēc noklusējuma"
"Contact Information",Kontaktinformācija
"Change Password","Mainīt paroli"
Newsletters,Jaunumi
"You are subscribed to ""General Subscription"".","Esat pieteicies jaunumu saņemšanai ""Noklusētajā"" sarakstā."
"Default Addresses","Noklusējuma adrese"
"Change Billing Address","Mainīt Rēķina Adresi"
"Change Shipping Address","Mainīt piegādes adresi"
"It's a default billing address.","Tā ir noklusētā rēķinu adrese."
"It's a default shipping address.","Tā ir noklusētā piegādes adrese."
"Additional Address Entries","Citas adreses"
"Current Password","Pašreizējā parole"
"Password Strength","Paroles stiprums"
"No Password","Nav paroles"
"Confirm New Password","Apstipriniet jauno paroli"
"Please enter your email address below to receive a password reset link.","Lūdzu, ievadiet savu e-pasta adresi, lai saņemtu e-pastu ar saiti uz paroles nomaiņas formu."
